"employer","vacancies_count","vacancies_with_salary","avg_salary_from","avg_salary_to","min_salary_from","max_salary_to","analyst_types","employment_types","schedules","experience_levels"
СБЕР,135,5,125500.00,130666.67,95000.0,230000.0,"Data Analyst, System Analyst","Полная занятость, Стажировка",Полный день,"Junior (no experince), Junior+ (1-3 years), Middle (3-6 years)"
WILDBERRIES,29,1,180000.00,220000.00,180000.0,220000.0,Data Analyst,Полная занятость,"Гибкий график, Полный день, Удаленная работа","Junior (no experince), Junior+ (1-3 years), Middle (3-6 years)"
Okko,13,0,,,,,Data Analyst,Полная занятость,Полный день,"Junior+ (1-3 years), Middle (3-6 years)"
Ozon,11,0,,,,,Data Analyst,"Полная занятость, Стажировка","Полный день, Удаленная работа","Junior (no experince), Junior+ (1-3 years), Middle (3-6 years)"
Марс,11,0,,,,,Data Analyst,Полная занятость,"Гибкий график, Полный день",Junior+ (1-3 years)
"МАГНИТ, Розничная сеть",10,0,,,,,Data Analyst,Полная занятость,"Полный день, Удаленная работа","Junior+ (1-3 years), Middle (3-6 years)"
МТС,8,0,,,,,Data Analyst,Полная занятость,"Полный день, Удаленная работа","Junior+ (1-3 years), Middle (3-6 years)"
билайн,8,0,,,,,Data Analyst,Полная занятость,"Полный день, Удаленная работа","Junior+ (1-3 years), Middle (3-6 years)"
Maxim technology,8,0,,,,,Data Analyst,Полная занятость,Полный день,Middle (3-6 years)
Московская Биржа,8,0,,,,,Data Analyst,Полная занятость,Полный день,"Junior (no experince), Junior+ (1-3 years), Middle (3-6 years)"
МегаФон,7,0,,,,,Data Analyst,Полная занятость,"Полный день, Удаленная работа","Junior+ (1-3 years), Middle (3-6 years)"
«UZUM TECHNOLOGIES».,7,0,,,,,Data Analyst,Полная занятость,"Полный день, Удаленная работа",Middle (3-6 years)
ПСБ (ПАО «Промсвязьбанк»),6,0,,,,,Data Analyst,Полная занятость,"Полный день, Сменный график",Junior+ (1-3 years)
USETECH,6,0,,,,,Data Analyst,Полная занятость,Полный день,Middle (3-6 years)
KONNEKTU,6,6,,113333.33,,140000.0,Data Analyst,Полная занятость,Полный день,"Junior+ (1-3 years), Middle (3-6 years)"
Медиапоинт,6,0,,,,,Data Analyst,Полная занятость,Полный день,"Junior+ (1-3 years), Middle (3-6 years)"
Самокат (ООО Умный ритейл),6,0,,,,,Data Analyst,Полная занятость,"Полный день, Удаленная работа","Junior+ (1-3 years), Middle (3-6 years)"
Finstar Financial Group,5,4,222062.50,280500.00,187000.0,280500.0,Data Analyst,Полная занятость,Полный день,Junior+ (1-3 years)
Звук,5,0,,,,,Data Analyst,Полная занятость,"Полный день, Удаленная работа","Junior+ (1-3 years), Middle (3-6 years)"
"Лента, федеральная розничная сеть",5,0,,,,,Data Analyst,Полная занятость,Удаленная работа,"Junior+ (1-3 years), Middle (3-6 years)"
